title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget,Opening weekend USA,gross,Cumulate Worldwide Gross,runtime,sound Mix,Color,Aspect Ratio 
Maheshinte Prathikaaram,8.3,xxx,7.199,Comedy; Drama;,Dileesh Pothan,Syam Pushkaran,2h,5 February ,016 (India,Idukki; Kerala; India,28,"Mahesh Bhavana from Idukki runs a photo studio and leads a happy contented life living along with his aging father, his darling pet dog, his friends & his lady love with whom he maintains a long distance relationship. One fine day, his rosy life is turned upside down with what could only be called a manifestation of the often quoted butterfly effect!",xxx,xxx,xxx,xxx,120 min,xxx,xxx,xxx
Premam,8.3,xxx,17.728,Comedy; Drama;,Alphonse Puthren,Alphonse Puthren,2h 36min,22 May 2015,(India,Kochi; Kerala; India,81,"George, a teenager, loves the idea of being in love. This dream seems to be within reach during his school days, then, for a second time during his college days and yet it fails to materialize. This slow metamorphosis of his love, his attempt to woo his lovers, the abrupt failures hardens him but he finally is able to settle down for life with someone much younger, whom he have met during childhood. The film transcends its viewers on perspectives and boundaries of love.",xxx,xxx,xxx,xxx,156 min,xxx,xxx,xxx
Rangitaranga: Une vague colorée,8.3,xxx,12.629,Mystery; Thrill,Anup Bhandari,Anup Bhandari,2h 29min,9 March 201, (France,Bangalore; Karnataka; India,122,"Gautam, a novelist leads a reclusive life in Ooty. Gautam's latest novel is titled RangiTaranga, a word which might hold the key to his past. Indu, a soft natured girl, paints the cover pages of all Gautam's novels. Sandhya, a self proclaimed journalist, is in search of an anonymous writer who goes by the pen name ""ANASHKU"". Unforeseen circumstances lead Gautam to Indu's ancestral home in the village of Kamarottu. Upon his arrival in Kamarottu, he befriends the post master, Kalinga, and the elderly school head master, Shankara. Gautam experiences a lot of strange occurrences and his investigation into these incidents irks the powerful men in the village. Meanwhile, Sandhya's trail leads her to Kamarottu. And then, the unexpected happens!!!",xxx,xxx,xxx,xxx,149 min,xxx,xxx,xxx
Bangalore Days,8.3,xxx,17.104,Comedy; Drama;,Anjali Menon,Anjali Menon,2h 51min,30 May 2014,(India,Ernakulam; Kerala; India,63,Bangalore Days begins with an intro from Kuttan (Nivin Pauly) introducing himself and his cousins namely Divya (Nazriya) and Aju (Dulquer) who share a very friendly relationship right from the childhood.They get separated after their schooling but are reunited at Bangalore after the marriage of Divya to Das. The story revolves around how their life turns at Bangalore.,xxx,xxx,xxx,xxx,171 min,xxx,xxx,xxx
Jigarthanda,8.3,xxx,10.514,Action; Crime;,Karthik Subbaraj,Karthik Subbaraj,2h 51min,1 August 20,4 (France,xxx,41,"When Karthik is given a task by his producer to come up with a gripping gangster flick infested with heavy dosage of violence, he focuses on Sethu, a ruthless gangster surrounded by quirky yet scary henchmen. Karthik discreetly tries his best to find out about Sethu to develop a film script, but fails miserably in all his attempts. However when he finally gets the chance to gain an insight into Sethu's life, disaster strikes as he gets caught in the mêlée following the discovery of a mole within Sethu's gang.",xxx,xxx,xxx,xxx,171 min,xxx,xxx,xxx
Drishyam,8.3,xxx,35.010,Crime; Drama; T,Jeethu Joseph,Jeethu Joseph,2h 40min,30 January ,019 (France,Rajakkad; Idukki; Kerala; India,125,"Georgekutty (Mohanlal) is a cable TV network owner in a remote and hilly village in Kerala. He lives a happy life with his wife and 2 girls. The first half revolves around the depiction of their happy family. Anju (Ansiba), Georgekutty's daughter goes to a school trip in between the proceedings. After a few days a guy who had been at the school trip with her meets Anju. He blackmails her with a video of her that he had captured during the school trip. In the course of events he is accidentally killed by Rani (Meena) and Anju. Georgekutty on returning home is appraised of the events and thus begins a cat and mouse game as the murdered person is the son of IG Geeta Prabhakar (Asha Sharath) and Prabhakar (Siddique). How the family weathers the storm that ensues during the murder investigation forms the rest of the story leading to a deeply satisfying and unexpected climax.",xxx,xxx,xxx,xxx,160 min,xxx,xxx,xxx
So-won,8.3,xxx,6.007,Drama,Joon-ik Lee,Ji-hye Kim,2h 2min,2 October 2,13 (South Korea,IMDbPro,42,"Story of an 8 year old girl coping with a gruesome rape damaging her internally and affecting emotionally, trying to overcome all obstacles in the aftermath of the incident with a good support from those around her.",xxx,xxx,xxx,xxx,122 min,xxx,xxx,xxx
Micmac Masters,8.3,xxx,9.269,Comedy; Crime;,Nalan Kumarasamy,Srinivas Kavinayam,2h 15min,5 November ,014 (France,See more,24,"Pagalavan, Kesavan and Sekar are three friends, who lose their jobs in Chennai due to certain circumstances. Then they come across Das (Vijay Sethupathy), who runs a smart kidnap for ransom scam. Naturally his crime flourishes, and the three friends team up with him. Their path crosses with that of Arumai Prakasam, son of the state finance minister. Denied capital by his very strict father to start his business Arumai Prakasam stages his own kidnap, but ends up in the hands of Das and co. The comedy of errors takes a turn when the finance minister wants to catch the culprits, and gives the task to a very strict, encounter specialist cop, Brahmma. How Das and co try to stay ahead of the cop and how he nabs them, and what happens forms the rest of the story.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
It's Such a Beautiful Day,8.3,90,11.591,Animation; Come,Don Hertzfeldt,xxx,1h 2min,21 May 2016,(Japan,Bitter Films,61,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.",xxx,xxx,xxx,xxx,62 min,xxx,xxx,xxx
Lucia,8.3,xxx,11.599,Drama; Sci-Fi;,Pawan Kumar,Pawan Kumar,2h 15min,6 September,2013 (India,xxx,121,"From the director of smash hit Lifeu Ishtene, Pawan Kumar, comes Lucia, heralding a new direction for Kannada cinema, being the industry's first crowd funded film. An usher at a decrepit cinema suffers from insomnia. His life changes when he starts getting weird and wonderful dreams but with a caveat. Set in the teeming young metropolis that is Bangalore, the film is a turbulent ride where the lines between dreams and reality are blurred to delirious effect.",xxx,xxx,xxx,xxx,135 min,xxx,xxx,xxx
La chasse,8.3,77,291.333,Drama,Thomas Vinterberg,Tobias Lindholm,1h 55min,14 November,2012 (France,Høje Taastrup Church; Taastrup; Denmark,468,"Lucas is a Kindergarten teacher who takes great care of his students. Unfortunately for him, young Klara has a run-away imagination and concocts a lie about her teacher. Before Lucas is even able to understand the consequences, he has become the outcast of the town. The hunt is on to prove his innocence before it's taken from him for good.",xxx,xxx,xxx,xxx,115 min,Dolby Digital,Color,2.35 : 1
Une séparation,8.3,95,224.703,Drama,Asghar Farhadi,Asghar Farhadi,2h 3min,8 June 2011,(France,Tehran; Iran,393,"Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.",xxx,xxx,xxx,xxx,123 min,Dolby Digital,Color,1.85 : 1
"Montevideo, vidimo se!",8.3,xxx,6.765,Adventure; Biog,Dragan Bjelogrlic,Dragan Bjelogrlic,2h 21min,15 January ,014 (Serbia,Santa Cruz de Tenerife; Tenerife; Canary Islands; Spain,19,"A football team from Belgrade, in the former Yugoslavia, gets a chance to go to the First World Football Championship, but things get complicated along the way.",xxx,xxx,xxx,xxx,141 min,io: 2.35 : 1,xxx,xxx
Pranchiyettan and the Saint,8.3,xxx,5.007,Comedy; Drama,Ranjith,Ranjith,2h 20min,10 Septembe, 2010 (India,Capitol Theatre,13,"Chirammal Enashu Francis, a.k.a. Pranchiyettan (Mammootty), is a successful businessman based in Thrissur. He is a devotee of Saint Francis of Assisi and often has imaginary conversations with the saint. His ancestors were rice traders, but he has grown beyond the small rice shop to expand his business into jewellery, real estate, finance, shopping complexes and lot more. Even though he is successful and wealthy, he is not well-educated and he is unhappy with his name and also wants to become a celebrity. He is called Ari (""rice"") Pranchi by everybody, citing his ancestors' business as a colloquial taunt. He wants to change his image from Ari Pranchi to something great and is ready to spend a fortune for it. The film deals with how Pranchi tries to get a good name and what changes that brings to his life.",xxx,xxx,xxx,xxx,140 min,xxx,xxx,xxx
Incendies,8.3,80,154.870,Drama; Mystery;,Denis Villeneuve,Denis Villeneuve,2h 11min,12 January ,011 (France,175 Boulevard Deguire; Montréal; Québec; Canada,271,"A mother's last wishes send twins Jeanne and Simon on a journey to the Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",xxx,xxx,xxx,xxx,131 min,Dolby Digital,Color,1.85 : 1
Dara iz Jasenovca,8.3,xxx,34.409,Drama; War,Predrag Antonijevic,Natasa Drakulic,2h 10min,September 2,21 (Serbia,xxx,870,"The film is set in the Nazi-occupied Croatian Ustasha regime ""NDH"" in former Yugoslavia during WWII. The film is told through the experiences of a little girl named Dara who is sent as a child during the Holocaust in the Balkans to the infamous extermination camp complex Jasenovac, also known as ""Balkan's Auschwitz"", when it was ruled by sadistic camp commander Maks Luburic until the liberation. The film is the first modern WWII movie that takes place in or shows this NDH era camp.",xxx,xxx,xxx,xxx,130 min,or,Ratio: 2.39,xxx
The Father,8.3,88,53.304,Drama,Florian Zeller,Christopher Hampton,1h 37min,26 May 2021,(France,West London Film Studios; London; England; UK,522,"Having just scared off his recent caregiver, Anthony, an ailing, octogenarian Londoner gradually succumbing to dementia, feels abandoned when concerned Anne, his daughter, tells him she's moving to Paris. Confused and upset, against the backdrop of a warped perspective and his rapid, heart-rending mental decline, Anthony is starting to lose his grip on reality, struggling to navigate the opaque landscape of present and past. Now, as faded memories and glimpses of lucidity trigger sudden mood swings, dear ones, Anthony's surroundings, and even time itself become distorted. Why has his younger daughter stopped visiting? Who are the strangers that burst in on Anthony?",xxx,xxx,xxx,xxx,97 min,io: 2.39 : 1,xxx,xxx
Mon père et mon fils,8.3,xxx,80.760,Drama; Family,Cagan Irmak,Cagan Irmak,1h 52min,3 May 2006 ,France,Izmir; Turkey,132,"Sadik is one of the rebellious youth who has been politically active as a university student and became a left-wing journalist in the 70's, despite his father's expectations of him becoming an agricultural engineer and taking control of their family farm in an Aegean village. On the dawn of September 12, 1980, when a merciless military coup hits the country, they cannot find access to any hospital or a doctor and his wife dies while giving birth to their only child, Deniz. After a long-lasting period of torture, trials, and jail time, Sadik returns to his village with 7-8 years old Deniz, knowing that it will be hard to correct things with his father, Huseyin.",xxx,xxx,xxx,xxx,112 min,xxx,xxx,xxx
Khosla Ka Ghosla!,8.3,xxx,22.517,Comedy; Crime;,Dibakar Banerjee,Jaideep Sahni,2h 15min,22 Septembe, 2006 (India,New Delhi; Delhi; India,53,"K.K. Khosla (Anupam Kher) is a middle class man living in New Delhi. He is a simple man with simple tastes. The plot starts with a scene where Khosla dreams about his death. The irony is that nobody cares about his death; instead his children & neighbours are more interested in their materialistic needs. One early morning in Delhi, Khosla wakes up and plans to go to the site where he has purchased a plot to build his house. He is accompanied by his wife, eldest son Bunty (Ranvir Shorey), second son Chironji Lal Khosla (Parvin Dabas), and his daughter. When they reach the spot they find that the site has been occupied by someone else and on further investigation find that it has been captured by a property usurping nexus headed by a man named Kishan Khurana (Boman Irani). Khurana demands Rs. 15 lakhs to vacate the plot, which Khosla refuses to give. Bunty gathers few local strongmen and forcefully destroys the walls and re-occupies the plot. But Khurana has the police on his side and ...",xxx,xxx,xxx,xxx,135 min,io: 1.85 : 1,xxx,xxx
Anniyan,8.3,xxx,15.144,Action; Drama;,S. Shankar,Gopal Ram,3h 1min,10 June 200, (India,xxx,66,"Ambi is a meek lawyer, who wishes to change the society. But, because of his oft-repeated concern, people don't take him seriously. Besides, Nandini, the girl whom he loves, also rejects her because of this. This makes Ambi shattered, not before he encounters a website Aparichit.com, visiting which creates an alter ego inside Ambi's mind. For the girl he loves, he becomes a supermodel named Remo, and for the entire nation, to reform it, he becomes a vigilante named Aparichit, who not only teaches people the importance of following the rules, but also punishes them if they don't follow.",xxx,xxx,xxx,xxx,181 min,xxx,xxx,xxx
Pithamagan,8.3,xxx,5.521,Action; Drama,Bala,Bala,2h 19min,24 October ,003 (India,xxx,10,"Chittan (Vikram) is born to a vagrant in a cemetery, who dies soon after. Raised with no contact to the outside world except with dead bodies, he grows up inept at social interaction. An acquaintance with a neighborhood drug dealer Gomathi (Sangitha) gets him a job as a handyman in a cannabis farm. Chittan ends up in jail where he makes his first real friendship - with a conman Shakti (Surya). When Chitthan and Sakthi try to step out of their lives of illicit activities, the local drug-lord interferes.",xxx,xxx,xxx,xxx,139 min,xxx,xxx,xxx
Inglourious Basterds,8.3,69,1.294.749,Adventure; Dram,Quentin Tarantino,Quentin Tarantino,2h 33min,19 August 2,09 (France,Brasserie La Renaissance; 112 rue Championnet; Paris 18; Paris; France,1966,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history.",xxx,xxx,xxx,xxx,153 min,"SDDS
| Dolby Digital
| DTS",Color,2.39 : 1
Eternal Sunshine of the Spotless Mind,8.3,89,925.608,Drama; Romance;,Michel Gondry,Charlie Kaufman,1h 48min,6 October 2,04 (France,123 Valentine Lane; Yonkers; New York; USA,1890,"Much to his surprise, timid Joel Barish is shocked to discover that the love of his life, sparky Clementine, has had him erased from her memory. To pay her back in the same coin, poor Joel summons up the courage to undergo a painless but intricate medical procedure to do the same, utterly unaware that darkness is an essential part of the light. Now, as hurt and angry Joel's ugly recollections of Clementine gradually fade away, giving way to a soulless black void, suddenly, he begins having second thoughts, toying with the idea of stopping the irreversible process. In the end, is ignorance really bliss?",xxx,xxx,xxx,xxx,108 min,"DTS
(as dts)| Dolby
| SDDS",Color,1.85 : 1
Köyden Indim Sehire,8.3,xxx,10.011,Adventure; Come,Ertem Egilmez,Zeki Alasya,1h 17min,October 197, (Turkey,Ankara; Turkey,2,"The sequel of The Stupid Millionaire (1974), the fun continues this time in Ankara, after the 4 brothers find the heritage from their father which is a box-ful of gold.",xxx,xxx,xxx,xxx,77 min,xxx,xxx,xxx
Alai Payuthey,8.3,xxx,5.533,Drama; Musical;,Mani Ratnam,Mani Ratnam,2h 36min,14 April 20,0 (India,xxx,26,"Karthik (Madhavan) is frantic after the disappearance of his wife Shakti (Shalini). Told in flashbacks, the film traces their brief marriage as the couple's dreamy romance runs through the usual gamut of highs and lows.",xxx,xxx,xxx,xxx,156 min,xxx,xxx,xxx
Mudhalvan,8.3,xxx,6.733,Action; Drama;,S. Shankar,S. Shankar,2h 49min,7 November ,999 (India,xxx,11,"The State's Chief Minister, after being questioned by a reporter, Pugazhendi, challenges him to accept the position for a day, and see for himself the challenges that face him. Pugazhendi accepts the challenge, and immediately sets about to tour the region, suspend and prosecute corrupt officials, arrest several politicians, including the Chief Minister himself, and makes swift and decisive changes that will go to assist the most vulnerable, much to the chagrin of people in power.. After the day is over, Pugazhendi will find his and his loved ones' lives in danger as the state's machinery, as well as goons, gather together to extract vengeance.",xxx,xxx,xxx,xxx,169 min,xxx,xxx,xxx
Le Fabuleux Destin d'Amélie Poulain,8.3,69,712.713,Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant,2h 2min,25 April 20,1 (France,France,1525,"Amélie is a story about a girl named Amélie whose childhood was suppressed by her Father's mistaken concerns of a heart defect. With these concerns Amélie gets hardly any real-life contact with other people. This leads Amélie to resort to her own fantastical world and dreams of love and beauty. She later on becomes a young woman and moves to the central part of Paris as a waitress. After finding a lost treasure belonging to the former occupant of her apartment, she decides to return it to him. After seeing his reaction and his new found perspective - she decides to devote her life to the people around her. Such as, her father who is obsessed with his garden-gnome, a failed writer, a hypochondriac, a man who stalks his ex girlfriends, the ""ghost,"" a suppressed young soul, the love of her life and a man whose bones are as brittle as glass. But after consuming herself with these escapades - she finds out that she is disregarding her own life and damaging her quest for love. Amélie then ...",xxx,xxx,xxx,xxx,122 min,"DTS
| Dolby Digital","Color
|  Black and White",2.39 : 1
Snatch - Tu braques ou tu raques,8.3,55,793.213,Comedy; Crime,Guy Ritchie,Guy Ritchie,1h 44min,15 November,2000 (France,UK,869,"Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Mickey, a 'pikey' ( slang for an Irish Gypsy)- who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off the Irish Gypsies. They then try to convince Mickey not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog.",xxx,xxx,xxx,xxx,104 min,"Dolby Digital
| SDDS
| Dolby Atmos",Color,1.85 : 1
Requiem for a Dream,8.3,68,778.869,Drama,Darren Aronofsky,Hubert Selby Jr.,1h 42min,21 March 20,1 (France,xxx,2208,"Sara Goldfarb (Ellen Burstyn) is a retired widow, living in a small apartment. She spends most of her time watching TV, especially a particular self-help show. She has delusions of rising above her current dull existence by being a guest on that show. Her son, Harry (Jared Leto) is a junkie but along with his friend Tyrone (Marlon Wayans) has visions of making it big by becoming a drug dealer. Harry's girlfriend Marion (Jennifer Connelly) could be fashion designer or artist but is swept along in Harry's drug-centric world. Meanwhile Sara has developed an addiction of her own. She desperately wants to lose weight and so goes on a crash course involving popping pills, pills which turn out to be very addictive and harmful to her mental state.",xxx,xxx,xxx,xxx,102 min,or,Ratio: 1.37 : 1,xxx
American Beauty,8.3,84,1.083.458,Drama,Sam Mendes,Alan Ball,2h 2min,2 February ,000 (France,11388 Homedale Street; Brentwood; Los Angeles; California; USA,2962,"After his death sometime in his forty-third year, suburbanite Lester Burnham tells of the last few weeks of his life, during which he had no idea of his imminent passing. He is a husband to real estate agent Carolyn Burnham and father to high school student Janie Burnham. Although Lester and Carolyn once loved each other, they now merely tolerate each other. Typical wallflower Janie too hates both her parents, the three who suffer individually in silence in their home life. Janie tries to steer clear of both her parents. Carolyn, relatively new to the real estate business, wants to create the persona of success to further her career, she aspiring to the professional life of Buddy Kane, the king of the real estate business in their neighborhood. Lester merely walks mindlessly through life, including at his job in advertising. His company is downsizing, and he, like all the other employees, has to justify his position to the newly hired efficiency expert to keep his job. Things change ...",xxx,xxx,xxx,xxx,122 min,"DTS
| Dolby Digital
| SDDS
| Dolby","Color
|  Black and White",2.39 : 1
Vuk,8.3,xxx,5.364,Animation; Adve,Attila Dargay,István Fekete,1h 19min,20 December,1993 (France,Pannónia Filmstúdió,13,"Vuk, the little fox lives happily among his many siblings in their parents' home. As he is livelier and snappier than the others, one day he wanders into the forest alone. As soon as he arrives home, he discovers that his whole family has disappeared. Only later, he comes to know that the responsible are the feared humans, the hunters (called among animals the 'bare-skins'). But luckily for Vuk, his old uncle Karak starts to patronize him, and the seasoned elder brings Vuk up to be the most cunning and successful fox in the forest.",xxx,xxx,xxx,xxx,79 min,xxx,xxx,xxx
Will Hunting,8.3,70,877.978,Drama; Romance,Gus Van Sant,Matt Damon,2h 6min,4 March 199, (France,Massachusetts Turnpike; Massachusetts; USA,936,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.",xxx,xxx,xxx,xxx,126 min,Dolby Digital,Color,1.85 : 1
Les enfants du ciel,8.3,77,67.229,Drama; Family;,Majid Majidi,Majid Majidi,1h 29min,5 April 200, (France,Tehran; Iran,194,"Zahra's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zahra until they come up with an idea: they will share one pair of shoes, Ali's. School awaits. Will the plan succeed?",xxx,xxx,xxx,xxx,89 min,Mono,Color,1.85 : 1
Toy Story,8.3,95,902.941,Animation; Adve,John Lasseter,John Lasseter,1h 21min,27 March 19,6 (France,Pixar Animation Studios - 1200 Park Avenue; Emeryville; California; USA,662,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",xxx,xxx,xxx,xxx,81 min,"Dolby SR
(Dolby Stereo Spectral Recording) (Stereo)| Dolby Atmos
(Ultra HD Blu-ray release) (2019)","Color
(Technicolor)",1.66 : 1
Braveheart,8.3,68,971.665,Biography; Dram,Mel Gibson,Randall Wallace,2h 58min,4 October 1,95 (France,Arizona; USA,1320,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.",xxx,xxx,xxx,xxx,178 min,"DTS
| Dolby Digital
| SDDS",Color,2.39 : 1
Vivre !,8.3,xxx,16.400,Drama; War,Yimou Zhang,Wei Lu,2h 13min,18 May 1994,(France,xxx,100,"Fugui and Jiazhen endure tumultuous events in China as their personal fortunes move from wealthy landownership to peasantry. Addicted to gambling, Fugui loses everything. In the years that follow he is pressed into both the nationalist and communist armies, while Jiazhen is forced into menial work. They raise a family and survive, managing ""to live"" from the 40's to the 70's in this epic, but personal, story of life through an amazing period.",xxx,xxx,xxx,xxx,133 min,io: 1.85 : 1,xxx,xxx
Reservoir Dogs,8.3,79,934.011,Crime; Drama; T,Quentin Tarantino,Quentin Tarantino,1h 39min,2 September,1992 (France,4459 Eagle Rock Blvd; Los Angeles; California; USA,1212,"Six criminals, who are strangers to each other, are hired by a crime boss, Joe Cabot, to carry out a diamond robbery. Right at the outset, they are given false names with the intention that they won't get too close and will concentrate on the job instead. They are completely sure that the robbery is going to be a success. But, when the police show up right at the time and the site of the robbery, panic spreads amongst the group members, and two of them are killed in the subsequent shootout, along with a few policemen and civilians. When the remaining people assemble at the premeditated rendezvous point (a warehouse), they begin to suspect that one of them is an undercover cop.",xxx,xxx,xxx,xxx,99 min,Dolby Stereo,"Color
(Eastmancolor)",2.35 : 1
Close-Up,8.3,xxx,16.791,Biography; Crim,Abbas Kiarostami,Abbas Kiarostami,1h 38min,30 October ,991 (France,Tehran; Iran,55,"Pretending to be Mohsen Makhmalbaf making his next movie, Hossain Sabzian enters the home of a well-to-do family in Tehran, promising it a prominent part in his next movie. The actual people involved in the incident re-enact the actual events, followed by the footage from the actual trial that took place.",xxx,xxx,xxx,xxx,98 min,io: 1.37 : 1,xxx,xxx
Full Metal Jacket,8.3,76,685.225,Drama; War,Stanley Kubrick,Stanley Kubrick,1h 56min,21 October ,987 (France,xxx,888,"A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.",xxx,xxx,xxx,xxx,116 min,or,Ratio: 1.33 : 1,xxx
Requiem pour un massacre - Va et regarde,8.3,xxx,62.431,Drama; Thriller,Elem Klimov,Ales Adamovich,2h 22min,16 Septembe, 1987 (France,xxx,555,"The feature film directed by Elem Klimov, shot in the genre of military drama. The action takes place on the territory of Belarus in 1943. In the center of the story is a Belarusian boy, who witnesses the horrors of the Nazi punitive action, turning from a cheerful teenager into a gray-haired old man for two days.",xxx,xxx,xxx,xxx,142 min,io: 1.37 : 1,xxx,xxx
Aliens : Le Retour,8.3,84,661.900,Action; Adventu,James Cameron,James Cameron,2h 17min,8 October 1,86 (France,Acton Lane Power Station; Acton Lane; Acton; London; England; UK,1377,"57 years after Ellen Ripley had a close encounter with the reptilian alien creature from the first movie, she is called back, this time, to help a group of highly trained colonial marines fight off against the sinister extraterrestrials. But this time, the aliens have taken over a space colony on the moon LV-426. When the colonial marines are called upon to search the deserted space colony, they later find out that they are up against more than what they bargained for. Using specially modified machine guns and enough firepower, it's either fight or die as the space marines battle against the aliens. As the Marines do their best to defend themselves, Ripley must attempt to protect a young girl who is the sole survivor of the nearly wiped out space colony.",xxx,xxx,xxx,xxx,137 min,"70 mm 6-Track
(70 mm prints)| Dolby Stereo",Color,1.85 : 1
Amadeus,8.3,88,374.437,Biography; Dram,Milos Forman,Peter Shaffer,2h 40min,31 October ,984 (France,Tyl Theatre; Plzen; Czech Republic,669,"Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.",xxx,xxx,xxx,xxx,160 min,"70 mm 6-Track
(70 mm prints)| Dolby Digital
(director's cut)| Dolby Stereo
(35 mm prints)",Color,2.39 : 1
Scarface,8.3,65,756.512,Crime; Drama,Brian De Palma,Oliver Stone,2h 50min,7 March 198, (France,485 West Matheson Drive; Key Biscayne; Florida; USA,1119,"Tony Montana manages to leave Cuba during the Mariel exodus of 1980. He finds himself in a Florida refugee camp but his friend Manny has a way out for them: undertake a contract killing and arrangements will be made to get a green card. He's soon working for drug dealer Frank Lopez and shows his mettle when a deal with Colombian drug dealers goes bad. He also brings a new level of violence to Miami. Tony is protective of his younger sister but his mother knows what he does for a living and disowns him. Tony is impatient and wants it all however, including Frank's empire and his mistress Elvira Hancock. Once at the top however, Tony's outrageous actions make him a target and everything comes crumbling down.",xxx,xxx,xxx,xxx,170 min,"4-Track Stereo
(original release)| DTS
(Blu-ray release) (DTS-HD Master Audio 7.1)",Color,2.39 : 1
Le Retour du Jedi,8.3,58,964.587,Action; Adventu,Richard Marquand,Lawrence Kasdan,2h 11min,19 October ,983 (France,Castle Dome Peak; Yuma; Arizona; USA,886,"Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.",xxx,xxx,xxx,xxx,131 min,"70 mm 6-Track
(70 mm prints)| Dolby Stereo
(35 mm prints)| DTS
(1997 print)| Dolby Digital
(1997 print)| SDDS
(1997 print)| Dolby Digital EX
(DVD)| DTS-ES
(6.1 channels) (blu-ray)| Dolby Atmos",Color,2.20 : 1
Le Bateau,8.3,86,235.271,Adventure; Dram,Wolfgang Petersen,Wolfgang Petersen,2h 29min,17 February,1982 (France,Bodensee; Bavaria; Germany,527,"It is 1942 and the German submarine fleet is heavily engaged in the so-called ""Battle of the Atlantic"" to harass and destroy British shipping. With better escorts of the destroyer class, however, German U-boats have begun to take heavy losses. ""Das Boot"" is the story of the crew of one such U-Boat, with the film examining how these submariners maintained their professionalism as soldiers and attempted to accomplish impossible missions, all the while attempting to understand and obey the ideology of the government under which they served.",xxx,xxx,xxx,xxx,149 min,"Dolby Digital
(director's cut)| Dolby Stereo
(original release)| SDDS
(director's cut)",Color,1.66 : 1
