Country Name,manufact_2018,manufact_2017,manufact_2016,manufact_2015,manufact_2014
Belarus,"$12,761,385,944","$11,836,878,332","$9,617,159,228","$11,654,715,559","$16,619,913,928"
Dominican Republic,"$12,093,709,823","$11,276,407,003","$10,915,710,592","$10,462,971,355","$9,772,344,455"
Slovenia,"$10,996,665,766","$10,000,463,076","$9,022,042,117","$8,591,914,825","$9,798,001,647"
Guatemala,"$10,219,209,756","$10,122,811,552","$9,373,420,440","$8,908,997,492","$8,143,679,289"
Kuwait,"$9,615,465,641","$9,054,731,289","$7,880,503,145","$7,994,017,946","$9,013,703,443"
Lithuania,"$8,911,633,893","$8,105,069,312","$7,268,924,400","$7,128,901,584","$8,438,652,716"
"Congo, Dem. Rep.","$8,663,842,913","$7,408,828,771","$6,782,445,570","$6,494,793,727","$5,585,440,597"
Uzbekistan,"$8,547,108,532","$8,577,022,757","$11,761,339,697","$11,041,283,812","$10,257,951,390"
Oman,"$8,370,232,539","$7,046,342,313","$5,965,521,357","$6,778,876,068","$7,567,886,085"
Jordan,"$7,683,587,212","$7,473,803,183","$7,182,816,901","$7,085,201,705","$6,945,021,103"
Croatia,"$7,665,435,960","$7,176,056,401","$6,747,823,713","$6,408,632,607","$7,436,954,020"
Paraguay,"$7,639,918,159","$7,586,021,832","$6,879,116,154","$7,030,991,082","$7,577,931,949"
Serbia,"$7,356,729,367","$6,665,158,980","$6,027,147,349","$5,856,363,396","$7,042,228,237"
Costa Rica,"$7,134,274,675","$6,828,331,014","$6,518,427,514","$6,232,925,268","$6,147,654,615"
Uruguay,"$6,944,235,015","$6,967,268,014","$6,753,533,840","$7,054,935,684","$6,950,342,020"
Ghana,"$6,856,855,277","$6,174,080,680","$6,118,426,237","$5,520,386,125","$6,077,885,245"
Kenya,"$6,817,191,436","$6,373,995,391","$6,447,564,835","$5,998,213,458","$6,119,036,803"
Gabon,"$6,730,290,226","$2,630,937,016","$2,448,011,296","$2,400,113,937","$3,166,290,038"
Bahrain,"$6,660,691,489","$6,564,574,468","$5,835,452,128","$5,398,138,298","$4,984,148,936"
Angola,"$6,141,467,808","$8,036,418,730","$6,828,570,644","$6,605,777,276","$6,940,376,391"
Tunisia,"$6,057,372,776","$6,085,822,931","$6,237,737,430","$6,593,902,936","$7,412,593,509"
Cameroon,"$5,518,670,115","$5,294,791,225","$4,851,209,641","$4,535,167,352","$5,046,574,501"
Uganda,"$5,184,760,947","$4,774,325,099","$4,739,754,873","$5,434,427,228","$5,040,377,333"
Ethiopia,"$4,910,894,738","$5,058,822,417","$4,228,516,860","$2,844,914,210","$2,219,664,905"
Trinidad And Tobago,"$4,493,353,813","$4,079,268,383","$4,195,951,417","$3,845,297,457","$4,432,900,095"
Lebanon,"$4,188,712,547","$4,396,257,342","$4,275,552,230","$4,026,734,166","$3,626,298,301"
El Salvador,"$4,174,060,000","$4,017,800,000","$3,939,740,000","$3,840,940,000","$3,632,190,000"
Bolivia,"$4,167,012,460","$3,935,972,531","$3,728,168,488","$3,363,113,190","$3,213,277,008"
Estonia,"$4,069,923,527","$3,608,449,078","$3,340,603,597","$3,181,893,734","$3,772,246,323"
Honduras,"$4,042,342,497","$3,962,464,502","$3,723,871,250","$3,680,504,165","$3,408,901,616"
Cambodia,"$4,017,337,623","$3,590,172,421","$3,201,715,952","$2,890,478,521","$2,571,795,667"
Panama,"$3,826,900,000","$3,768,600,000","$3,575,800,000","$3,456,900,000","$3,297,700,000"
Senegal,"$3,654,548,188","$3,318,571,886","$3,125,021,093","$3,029,363,255","$3,365,021,641"
Luxembourg,"$3,647,740,557","$3,214,138,382","$3,226,645,636","$2,676,138,210","$2,612,777,885"
Latvia,"$3,634,722,895","$3,188,865,155","$2,853,174,529","$2,852,739,350","$3,291,763,065"
Hong Kong,"$3,517,382,152","$3,502,925,627","$3,458,253,353","$3,446,425,346","$3,596,162,030"
Equatorial Guinea,"$3,359,160,603","$3,141,808,232","$2,080,034,343","$2,352,906,751","$4,380,435,489"
Haiti,"$2,669,478,951","$2,327,362,029","$2,247,072,592","$2,524,067,428","$2,456,069,194"
Bosnia,"$2,669,339,167","$2,371,209,519","$2,092,049,658","$1,891,947,831","$2,030,318,817"
Zimbabwe,"$2,575,000,000","$2,428,248,100","$2,382,828,800","$2,373,335,400","$2,454,635,000"
Azerbaijan,"$2,176,705,882","$1,920,462,468","$1,866,892,273","$2,648,838,571","$3,541,756,981"
Iceland,"$2,173,968,354","$2,181,989,834","$1,917,187,344","$1,840,617,672","$2,011,692,052"
Brunei,"$1,908,396,397","$1,535,197,842","$1,306,608,340","$1,878,493,563","$2,757,671,823"
West Bank And Gaza,"$1,879,500,000","$1,879,800,000","$1,544,600,000","$1,302,400,000","$1,504,000,000"
Nicaragua,"$1,838,862,619","$1,880,742,340","$1,879,249,502","$1,811,181,063","$1,750,343,813"
Zambia,"$1,801,761,314","$2,102,367,425","$1,610,608,663","$1,597,990,095","$1,851,675,140"
Namibia,"$1,617,612,699","$1,519,403,187","$1,246,401,073","$1,282,754,640","$1,205,519,538"
Mauritius,"$1,607,513,320","$1,565,046,663","$1,516,688,753","$1,524,273,534","$1,739,752,332"
Burkina Faso,"$1,566,259,035","$1,447,287,184","$1,427,126,237","$1,375,053,978","$1,533,180,073"
Georgia,"$1,554,832,090","$1,396,413,628","$1,179,574,936","$1,325,607,015","$1,693,209,492"
Nepal,"$1,455,550,516","$1,260,320,504","$1,137,422,216","$1,195,905,619","$1,150,516,635"
Armenia,"$1,404,249,051","$1,225,498,657","$1,084,633,088","$971,558,319","$1,122,222,602"
Eswatini,"$1,354,812,245","$1,312,543,550","$1,191,799,274","$1,288,616,752","$1,355,268,661"
Cyprus,"$1,339,755,550","$1,100,158,156","$958,665,043","$845,324,531","$944,592,799"
Lao PDR,"$1,338,046,767","$1,261,206,619","$1,228,349,485","$1,178,584,736","$1,118,225,229"
Benin,"$1,306,787,622","$1,221,908,066","$1,173,981,481","$1,142,878,262","$1,379,814,596"
Mozambique,"$1,293,988,056","$1,084,101,679","$1,012,154,186","$1,306,744,856","$1,421,876,562"
Moldova,"$1,284,859,751","$1,117,142,873","$960,267,569","$926,191,886","$1,103,386,389"
Mongolia,"$1,239,082,589","$1,031,376,677","$819,356,378","$897,433,509","$1,073,157,032"
Jamaica,"$1,206,038,573","$1,140,120,893","$1,079,203,805","$1,127,786,830","$1,128,404,599"
