Country Name,capita_2018,capita_2017,capita_2016,capita_2015,capita_2014
Dominica,"$7,694","$7,275","$8,081","$7,596","$7,318"
St. Vincent And The Grenadines,"$7,361","$7,213","$7,075","$6,921","$6,685"
Thailand,"$7,295","$6,593","$5,994","$5,840","$5,952"
Serbia,"$7,252","$6,293","$5,765","$5,589","$6,600"
Turkmenistan,"$6,967","$6,587","$6,390","$6,433","$7,962"
Peru,"$6,941","$6,711","$6,205","$6,229","$6,673"
Colombia,"$6,717","$6,377","$5,871","$6,176","$8,114"
South Africa,"$6,374","$6,132","$5,273","$5,735","$6,433"
Belarus,"$6,330","$5,762","$5,023","$5,949","$8,319"
Fiji,"$6,317","$6,101","$5,651","$5,391","$5,606"
Ecuador,"$6,296","$6,214","$6,060","$6,124","$6,377"
Guyana,"$6,146","$6,125","$5,811","$5,577","$5,407"
North Macedonia,"$6,089","$5,431","$5,129","$4,840","$5,468"
Bosnia,"$6,072","$5,395","$4,995","$4,727","$5,330"
Suriname,"$6,015","$5,638","$5,539","$8,562","$9,472"
Iraq,"$5,834","$5,205","$4,777","$4,990","$6,819"
Paraguay,"$5,806","$5,681","$5,319","$5,407","$6,103"
Iran,"$5,550","$5,520","$5,253","$4,904","$5,586"
Namibia,"$5,495","$5,303","$4,523","$4,869","$5,435"
Jamaica,"$5,354","$5,069","$4,843","$4,908","$4,834"
Albania,"$5,284","$4,531","$4,124","$3,953","$4,579"
Belize,"$4,885","$4,888","$4,818","$4,776","$4,706"
Tonga,"$4,741","$4,514","$4,158","$4,336","$4,354"
Azerbaijan,"$4,740","$4,147","$3,881","$5,500","$7,891"
Georgia,"$4,723","$4,357","$4,062","$4,014","$4,739"
Guatemala,"$4,473","$4,451","$4,173","$3,995","$3,780"
Kosovo,"$4,420","$4,046","$3,780","$3,603","$4,080"
Jordan,"$4,312","$4,234","$4,177","$4,164","$4,131"
Moldova,"$4,234","$3,510","$2,880","$2,732","$3,329"
Armenia,"$4,220","$3,915","$3,592","$3,607","$3,986"
Samoa,"$4,189","$4,260","$4,109","$4,074","$3,938"
Algeria,"$4,154","$4,111","$3,945","$4,188","$5,494"
Mongolia,"$4,135","$3,669","$3,660","$3,919","$4,159"
Eswatini,"$4,106","$3,915","$3,426","$3,680","$4,039"
Sri Lanka,"$4,081","$4,077","$3,886","$3,844","$3,819"
El Salvador,"$4,068","$3,910","$3,806","$3,706","$3,589"
Indonesia,"$3,894","$3,838","$3,563","$3,332","$3,492"
Marshall Islands,"$3,788","$3,667","$3,474","$3,214","$3,230"
Tuvalu,"$3,701","$3,572","$3,256","$3,198","$3,399"
Cabo Verde,"$3,617","$3,293","$3,131","$3,043","$3,589"
Micronesia,"$3,568","$3,290","$3,015","$2,906","$2,971"
West Bank And Gaza,"$3,562","$3,620","$3,528","$3,272","$3,352"
Bolivia,"$3,549","$3,351","$3,077","$3,036","$3,082"
Tunisia,"$3,439","$3,481","$3,698","$3,862","$4,305"
Angola,"$3,290","$4,096","$3,506","$4,167","$5,408"
Philippines,"$3,252","$3,123","$3,074","$3,001","$2,960"
Bhutan,"$3,243","$3,287","$2,931","$2,753","$2,652"
Morocco,"$3,222","$3,036","$2,897","$2,875","$3,172"
Djibouti,"$3,142","$2,914","$2,802","$2,659","$2,464"
Vanuatu,"$3,125","$3,082","$2,890","$2,802","$3,088"
Ukraine,"$3,097","$2,641","$2,188","$2,125","$3,105"
Papua New Guinea,"$2,801","$2,695","$2,510","$2,679","$2,921"
"Congo, Rep.","$2,578","$2,191","$2,075","$2,461","$3,754"
Vietnam,"$2,567","$2,366","$2,192","$2,085","$2,030"
Lao PDR,"$2,542","$2,424","$2,309","$2,135","$1,998"
Egypt,"$2,537","$2,444","$3,520","$3,563","$3,380"
Honduras,"$2,506","$2,454","$2,343","$2,302","$2,206"
Solomon Islands,"$2,442","$2,333","$2,225","$2,167","$2,275"
Ghana,"$2,202","$2,026","$1,931","$1,744","$1,971"
Nigeria,"$2,028","$1,969","$2,176","$2,687","$3,099"
Nicaragua,"$2,021","$2,159","$2,108","$2,050","$1,934"
India,"$2,006","$1,982","$1,733","$1,606","$1,574"
Sao Tome And Principe,"$1,954","$1,814","$1,700","$1,585","$1,770"
Kenya,"$1,708","$1,572","$1,411","$1,337","$1,316"
Bangladesh,"$1,698","$1,564","$1,402","$1,248","$1,119"
Kiribati,"$1,698","$1,641","$1,585","$1,543","$1,643"
Zimbabwe,"$1,684","$1,548","$1,465","$1,445","$1,435"
Mauritania,"$1,601","$1,578","$1,537","$1,524","$1,677"
Cameroon,"$1,534","$1,425","$1,364","$1,328","$1,543"
Uzbekistan,"$1,529","$1,827","$2,568","$2,615","$2,492"
Zambia,"$1,516","$1,535","$1,281","$1,338","$1,763"
Cambodia,"$1,512","$1,385","$1,270","$1,163","$1,093"
Pakistan,"$1,482","$1,465","$1,368","$1,357","$1,251"
Senegal,"$1,466","$1,362","$1,270","$1,219","$1,397"
Haiti,"$1,435","$1,294","$1,266","$1,389","$1,402"
Myanmar,"$1,418","$1,292","$1,267","$1,287","$1,252"
Comoros,"$1,416","$1,324","$1,273","$1,243","$1,514"
Kyrgyz Republic,"$1,308","$1,243","$1,121","$1,121","$1,280"
Benin,"$1,241","$1,137","$1,087","$1,077","$1,291"
Timor-Leste,"$1,230","$1,286","$1,354","$1,333","$1,232"
Lesotho,"$1,222","$1,150","$1,044","$1,152","$1,223"
Tanzania,"$1,061","$1,005",$966,$948,"$1,030"
Nepal,"$1,039",$911,$777,$793,$743
Mali,$895,$830,$781,$751,$848
Guinea,$879,$856,$732,$769,$787
Tajikistan,$827,$806,$803,$929,"$1,104"
Yemen,$824,$961,"$1,139","$1,602","$1,673"
Burkina Faso,$813,$735,$688,$653,$793
Rwanda,$783,$772,$745,$752,$744
Guinea-Bissau,$778,$739,$661,$603,$623
Ethiopia,$772,$769,$717,$641,$567
Uganda,$770,$747,$733,$844,$880
Gambia,$733,$680,$691,$661,$607
Chad,$726,$666,$693,$776,"$1,020"
Togo,$680,$626,$597,$571,$641
Liberia,$677,$699,$715,$710,$721
Sudan,$624,"$1,112","$1,299","$1,910","$1,710"
Niger,$572,$518,$498,$484,$565
"Congo, Dem. Rep.",$557,$467,$471,$497,$487
Sierra Leone,$534,$499,$501,$588,$715
Madagascar,$528,$515,$476,$467,$531
Mozambique,$503,$461,$429,$590,$674
Afghanistan,$494,$520,$509,$578,$614
Central African Republic,$476,$451,$402,$377,$424
Malawi,$381,$357,$316,$381,$371
Burundi,$272,$293,$282,$306,$275
Aruba,$0,"$29,008","$28,281","$27,981","$26,648"
Venezuela,$0,$0,$0,$0,"$16,054"
Virgin Islands (U.S.),$0,"$35,938","$35,932","$34,797","$33,573"
South Sudan,$0,$0,$0,"$1,120","$1,323"
